,Original Index,Sample Mean,Sample Mean Rank,Sample Standard Deviation,Sample Standard Deviation Rank,Sample Mean t Value,Sample Mean t Value Rank
1,1,37.333333333333336,12,51.36795369358864,426,-1.4375671436743416,60
2,2,54.46666666666667,220,45.306679839679695,339,-0.16526851733924355,224
3,3,58.0,287,42.262783357735174,256,0.14662482831476134,282
4,4,69.0,433,38.52272056851645,192,1.2667742423699953,453
5,5,72.2,460,46.231096522949635,356,1.3236358527576833,459
6,6,64.93333333333334,387,52.78726397622098,443,0.6260877226469703,372
7,7,52.666666666666664,183,23.888630489558558,15,-0.6052727816339638,141
8,8,47.53333333333333,101,31.112392263870554,97,-1.1037548011456029,91
9,9,43.733333333333334,62,34.78395908351735,147,-1.410356680048161,63
10,10,57.53333333333333,276,43.721303513875036,291,0.10039456221401906,276
11,11,51.333333333333336,156,34.510177932783556,143,-0.5686182105176255,149
12,12,53.8,200,43.26034145562356,284,-0.23277108689650178,207
13,13,42.06666666666667,47,32.556471085236026,120,-1.7051221906177048,48
14,14,53.93333333333333,204,26.609522105191342,39,-0.35902031170943777,182
15,15,52.666666666666664,180,44.00432879139224,307,-0.3285844420985556,189
16,16,52.53333333333333,179,43.95268018264751,304,-0.34071950886962477,186
17,17,31.2,2,27.519343845998325,51,-3.546566403276331,4
18,18,43.8,65,41.04561921987359,229,-1.1889110479928031,77
19,19,53.0,190,27.263266757410314,48,-0.48299946936938637,159
20,20,62.13333333333333,350,38.472377227353775,191,0.5771700663838386,367
21,21,54.93333333333333,233,49.841845108397855,403,-0.11396800343333328,236
22,22,77.73333333333333,482,57.61134147602073,488,1.4341558901814773,469
23,23,62.666666666666664,360,39.87958064449716,215,0.6085995701056142,371
24,24,75.26666666666667,471,40.15055001698815,218,1.8199074674576001,490
25,25,55.0,236,51.204073498669445,424,-0.10589346343374957,238
26,26,75.53333333333333,473,53.99320944958418,460,1.3724518715011473,465
27,27,64.93333333333334,386,44.06726460223971,308,0.7499775215445733,393
28,28,52.86666666666667,187,47.38122995850733,375,-0.28881776958055655,194
29,29,46.93333333333333,93,36.24808697743661,164,-1.0114807539200434,102
30,30,54.86666666666667,229,43.92016566886961,302,-0.13521293405306825,231
31,31,59.53333333333333,313,52.02865510832423,433,0.23324354229127475,305
32,32,41.53333333333333,35,34.77861959526831,146,-1.655567503359178,50
33,33,39.53333333333333,25,29.222952492534915,74,-2.235377110602327,27
34,34,75.53333333333333,472,45.88162823531668,352,1.6150926679710884,476
35,35,59.266666666666666,311,38.45677846002977,190,0.28870208851912593,313
36,36,38.13333333333333,15,30.451053621618197,88,-2.3232856461983604,25
37,37,78.33333333333333,484,43.748741478497195,294,1.941711506571412,492
38,38,41.666666666666664,36,42.33483311928955,257,-1.3478724357631342,66
39,39,64.66666666666667,381,45.847054223280054,350,0.6983363025402557,383
40,40,58.0,284,40.341400216509236,219,0.15360828629334283,287
41,41,69.2,436,47.362130743574326,374,1.0467051640868321,433
42,42,62.46666666666667,357,49.030408445993515,393,0.4792148324212388,346
43,43,63.46666666666667,367,42.77827664108212,273,0.6397892683436245,374
44,44,68.4,427,44.34733040765492,317,1.0479954425050737,435
45,45,46.86666666666667,92,32.76510920098361,124,-1.126882898737161,88
46,46,75.93333333333334,475,49.86190453451938,406,1.5172359620468203,472
47,47,54.93333333333333,231,35.06415888190159,149,-0.16199948196588526,226
48,48,58.6,301,44.79126190293306,327,0.19022824987876438,295
49,49,48.8,118,41.26084273081613,236,-0.7133803258262769,134
50,50,69.8,442,49.93595898748716,408,1.0392906813341436,431
51,51,57.0,268,56.065013281775954,478,0.041448130869877246,265
52,52,59.266666666666666,309,41.654131447752775,245,0.26654144194685664,309
53,53,69.13333333333334,435,37.9640180521855,186,1.2990191890099156,457
54,54,58.4,297,44.29737173757765,315,0.17486289566574664,291
55,55,69.93333333333334,444,52.9129563753619,445,0.9905773218727137,424
56,56,53.8,202,41.36112736789046,237,-0.243459435004585,205
57,57,71.13333333333334,454,52.28065289059296,436,1.0914545147998715,440
58,58,53.0,189,31.213550171131036,99,-0.42187265802543145,173
59,59,56.733333333333334,264,40.343997016137294,220,0.0319996664737861,264
60,60,89.4,500,65.58614836337668,500,1.948711025333103,493
61,61,62.8,361,52.214119601064674,435,0.47472012561180943,344
62,62,60.6,322,47.50759337802146,377,0.34239852826551687,321
63,63,51.266666666666666,152,44.65657313105792,323,-0.44520466118579693,168
64,64,29.933333333333334,1,26.1109354941747,32,-3.925748246457567,2
65,65,50.2,138,21.785316155612705,9,-1.102233108528905,92
66,66,56.46666666666667,260,58.27259422829258,489,0.004430880299161504,259
67,67,53.86666666666667,203,36.00568738143356,161,-0.2725002221579993,199
68,68,59.666666666666664,315,52.88081837850993,444,0.23925018533284265,307
69,69,71.6,458,54.534130859228235,467,1.0794954633881524,439
70,70,46.333333333333336,81,27.79431253914746,54,-1.4027341851649626,64
71,71,47.666666666666664,102,24.890235224356747,25,-1.3589286823524684,65
72,72,47.266666666666666,98,33.25758058949368,129,-1.0636145885649826,95
73,73,63.8,372,50.526089441848896,417,0.567233227002856,365
74,74,50.8,144,27.816233698019886,55,-0.7797139963022911,124
75,75,48.733333333333334,116,26.652436679455427,40,-1.114077210952039,89
76,76,63.86666666666667,373,40.81467989875818,226,0.7085263371760981,385
77,77,48.8,117,24.782482292365884,23,-1.187720950788032,79
78,78,58.6,302,28.34431159862592,62,0.3006092891693086,315
79,79,53.6,199,25.97196290508011,31,-0.41754076921385114,174
80,80,55.0,235,48.04313538001925,381,-0.11286059167040578,237
81,81,48.53333333333333,111,41.53460977936123,242,-0.7335441250565079,130
82,82,54.0,207,45.04917947564163,335,-0.20633361448733478,217
83,83,65.4,394,41.15788416052784,231,0.846905783103787,400
84,84,42.733333333333334,54,32.08352195368178,112,-1.6497806093290792,51
85,85,61.8,346,58.667586572874406,492,0.3564849227868172,324
86,86,58.0,286,30.38561689822529,86,0.20393771746308706,299
87,87,65.4,395,50.025422108592515,411,0.6967827285935018,382
88,88,38.86666666666667,21,20.92116722592786,7,-3.2458183269691685,7
89,89,41.86666666666667,43,34.9997278900987,148,-1.6082227308059907,53
90,90,58.13333333333333,292,33.72126642823204,138,0.1990782626065849,297
91,91,50.86666666666667,145,32.186657987137345,117,-0.6658196031901968,137
92,92,54.666666666666664,224,23.73865643889328,13,-0.2827949067255286,197
93,93,48.333333333333336,108,39.09999391060725,207,-0.7990299367011147,122
94,94,63.666666666666664,371,56.89422098027516,482,0.4946667429051851,352
95,95,57.733333333333334,279,63.264147674274255,498,0.08162565978966177,273
96,96,54.2,214,38.586081872687124,193,-0.22081960510449028,212
97,97,45.6,76,35.84649813540269,157,-1.16687047033277,84
98,98,45.13333333333333,74,55.58888206758443,474,-0.7849701369100834,123
